"","Var1","Freq","type","freq","ethnicity"
"194","5",19,"deletion",0.00769542324827866,"C"
"195","6",158,"deletion",0.0639935196435804,"C"
"196","7",5,"deletion",0.00202511138112596,"C"
"197","8",23,"deletion",0.00931551235317942,"C"
"198","9",22,"deletion",0.00891049007695423,"C"
"199","10",12,"deletion",0.00486026731470231,"C"
"200","11",4,"deletion",0.00162008910490077,"C"
"201","12",20,"deletion",0.00810044552450385,"C"
"202","13",9,"deletion",0.00364520048602673,"C"
"203","14",21,"deletion",0.00850546780072904,"C"
"204","15",20,"deletion",0.00810044552450385,"C"
"205","16",2,"deletion",0.000810044552450385,"C"
"206","17",8,"deletion",0.00324017820980154,"C"
"207","18",6,"deletion",0.00243013365735115,"C"
"208","19",28,"deletion",0.0113406237343054,"C"
"209","20",3,"deletion",0.00121506682867558,"C"
"210","21",8,"deletion",0.00324017820980154,"C"
"211","22",7,"deletion",0.00283515593357635,"C"
"212","23",6,"deletion",0.00243013365735115,"C"
"213","24",137,"deletion",0.0554880518428514,"C"
"214","25",9,"deletion",0.00364520048602673,"C"
"215","26",7,"deletion",0.00283515593357635,"C"
"216","27",24,"deletion",0.00972053462940462,"C"
"217","28",16,"deletion",0.00648035641960308,"C"
"218","29",3,"deletion",0.00121506682867558,"C"
"219","30",6,"deletion",0.00243013365735115,"C"
"220","31",2,"deletion",0.000810044552450385,"C"
"221","32",7,"deletion",0.00283515593357635,"C"
"222","33",16,"deletion",0.00648035641960308,"C"
"223","34",4,"deletion",0.00162008910490077,"C"
"224","35",8,"deletion",0.00324017820980154,"C"
"225","36",6,"deletion",0.00243013365735115,"C"
"226","37",18,"deletion",0.00729040097205346,"C"
"227","38",6,"deletion",0.00243013365735115,"C"
"228","39",11,"deletion",0.00445524503847712,"C"
"229","40",7,"deletion",0.00283515593357635,"C"
"230","41",15,"deletion",0.00607533414337789,"C"
"231","42",4,"deletion",0.00162008910490077,"C"
"232","43",10,"deletion",0.00405022276225192,"C"
"233","44",7,"deletion",0.00283515593357635,"C"
"234","45",15,"deletion",0.00607533414337789,"C"
"235","46",13,"deletion",0.0052652895909275,"C"
"236","0",557,"duplication",0.225597407857432,"C"
"237","1",15,"duplication",0.00607533414337789,"C"
"238","2",18,"duplication",0.00729040097205346,"C"
"239","3",3,"duplication",0.00121506682867558,"C"
"240","4",17,"duplication",0.00688537869582827,"C"
"241","5",30,"duplication",0.0121506682867558,"C"
"242","6",322,"duplication",0.130417172944512,"C"
"243","7",17,"duplication",0.00688537869582827,"C"
"244","8",45,"duplication",0.0182260024301337,"C"
"245","9",43,"duplication",0.0174159578776833,"C"
"246","10",35,"duplication",0.0141757796678817,"C"
"247","11",13,"duplication",0.0052652895909275,"C"
"248","12",52,"duplication",0.02106115836371,"C"
"249","13",3,"duplication",0.00121506682867558,"C"
"250","14",49,"duplication",0.0198460915350344,"C"
"251","15",48,"duplication",0.0194410692588092,"C"
"252","16",14,"duplication",0.00567031186715269,"C"
"253","17",24,"duplication",0.00972053462940462,"C"
"254","18",17,"duplication",0.00688537869582827,"C"
"255","19",66,"duplication",0.0267314702308627,"C"
"256","20",10,"duplication",0.00405022276225192,"C"
"257","21",5,"duplication",0.00202511138112596,"C"
"258","22",8,"duplication",0.00324017820980154,"C"
"259","23",7,"duplication",0.00283515593357635,"C"
"260","24",219,"duplication",0.0886998784933171,"C"
"261","25",34,"duplication",0.0137707573916565,"C"
"262","26",17,"duplication",0.00688537869582827,"C"
"263","27",68,"duplication",0.0275415147833131,"C"
"264","28",37,"duplication",0.0149858242203321,"C"
"265","29",12,"duplication",0.00486026731470231,"C"
"266","30",15,"duplication",0.00607533414337789,"C"
"267","31",9,"duplication",0.00364520048602673,"C"
"268","32",13,"duplication",0.0052652895909275,"C"
"269","33",29,"duplication",0.0117456460105306,"C"
"270","34",13,"duplication",0.0052652895909275,"C"
"271","35",18,"duplication",0.00729040097205346,"C"
"272","36",15,"duplication",0.00607533414337789,"C"
"273","37",55,"duplication",0.0222762251923856,"C"
"274","38",17,"duplication",0.00688537869582827,"C"
"275","39",29,"duplication",0.0117456460105306,"C"
"276","40",6,"duplication",0.00243013365735115,"C"
"277","41",15,"duplication",0.00607533414337789,"C"
"278","42",13,"duplication",0.0052652895909275,"C"
"279","43",28,"duplication",0.0113406237343054,"C"
"280","44",18,"duplication",0.00729040097205346,"C"
"281","45",17,"duplication",0.00688537869582827,"C"
"282","46",21,"duplication",0.00850546780072904,"C"
